Fuel
Petrol
"-"
Petrol
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
Petrol
"-"
Petrol
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
Petrol
Petrol
"-"
"-"
"-"
"-"
"-"
Petrol
"-"
"-"
"-"
Petrol
Petrol
"-"
Petrol
"-"
Petrol
"-"
"-"
Petrol
"-"
Petrol
Petrol
Petrol
Petrol
"-"
"-"
Petrol
Petrol
Petrol
Petrol
"-"
"-"
"-"
Petrol
Petrol
Petrol
Petrol
Diesel
Petrol
Petrol
Petrol
Petrol
Petrol
Diesel
Petrol
Petrol
"-"
Petrol
Petrol
Petrol
Diesel
Diesel
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
"-"
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Diesel
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
"-"
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Hybrid
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
Petrol
